model,lead_hours,mae,rmse,bias,n
pred_persist_1h,1,13.705298013245033,20.974614110540692,0.035099337748344374,1510
pred_persist_1h,2,17.327345309381236,26.13709441752886,0.11510312707917499,1503
pred_persist_1h,3,20.53871829105474,30.909089748898687,0.18891855807743657,1498
pred_persist_1h,4,23.590635451505015,35.206642729855574,0.1979933110367893,1495
pred_persist_1h,5,26.426943699731904,38.96720453779841,0.22587131367292226,1492
pred_persist_1h,6,29.29233870967742,42.47370312310015,0.3030913978494624,1488
pred_persist_1h,7,32.12609575185435,45.69284564298302,0.3877275792312879,1483
pred_persist_1h,8,34.60675675675676,48.71296236837483,0.5202702702702703,1480
pred_persist_1h,9,37.18403247631935,51.688918048118545,0.5372124492557511,1478
pred_persist_1h,10,39.726964769647694,54.774636832282155,0.5779132791327913,1476
pred_persist_1h,11,42.12415196743555,57.81747938694172,0.6004070556309362,1474
pred_persist_1h,12,44.42837746096402,60.628105214391326,0.5315682281059063,1473
pred_persist_1h,13,46.69836956521739,63.29042573036174,0.4782608695652174,1472
pred_persist_1h,14,48.708559782608695,65.69087790719037,0.4898097826086957,1472
pred_persist_1h,15,50.688179347826086,68.05756534792408,0.45584239130434784,1472
pred_persist_1h,16,52.79347826086956,70.40651564771669,0.47554347826086957,1472
pred_persist_1h,17,54.815342837746094,72.73184014078542,0.47182620502376105,1473
pred_persist_1h,18,56.93012211668928,75.08418161209596,0.40366350067842605,1474
pred_persist_1h,19,58.999320652173914,77.43571580040917,0.4422554347826087,1472
pred_persist_1h,20,61.01700680272109,79.6534970471274,0.5312925170068027,1470
pred_persist_1h,21,62.852280462899934,81.74575804575521,0.5228046289993192,1469
pred_persist_1h,22,64.81007488087134,83.8170395552682,0.46562287270251873,1469
pred_persist_1h,23,66.6712049012934,85.81341863743515,0.47379169503063306,1469
pred_persist_1h,24,68.45027247956403,87.80915412235744,0.5197547683923706,1468
pred_persist_1h,25,70.17474402730376,89.71027313414027,0.5556313993174061,1465
pred_persist_1h,26,71.75239398084815,91.47162103920732,0.5813953488372093,1462
pred_persist_1h,27,73.46986301369863,93.29115566883817,0.4863013698630137,1460
pred_persist_1h,28,75.12962962962963,95.1712376292296,0.4561042524005487,1458
pred_persist_1h,29,76.48076923076923,96.904237877821,0.364010989010989,1456
pred_persist_1h,30,77.74346629986245,98.4950267214458,0.25378266850068776,1454
pred_persist_1h,31,79.0103305785124,100.00284775559469,0.20454545454545456,1452
pred_persist_1h,32,80.25499655410061,101.43443968785849,0.22191592005513439,1451
pred_persist_1h,33,81.41103448275862,102.73089720906418,0.26620689655172414,1450
pred_persist_1h,34,82.56521739130434,104.08081679695242,0.28226363008971705,1449
pred_persist_1h,35,83.76657458563535,105.398782321795,0.2941988950276243,1448
pred_persist_1h,36,84.9861782999309,106.71578034529986,0.28127159640635796,1447
pred_persist_1h,37,86.14799446749655,107.99325064715325,0.30567081604426005,1446
pred_persist_1h,38,87.2401384083045,109.24944949304263,0.3653979238754325,1445
pred_persist_1h,39,88.39750692520775,110.48130662502778,0.3407202216066482,1444
pred_persist_1h,40,89.58004158004158,111.78354987904983,0.3257103257103257,1443
pred_persist_1h,41,90.71705963938973,113.06473297136587,0.3855755894590846,1442
pred_persist_1h,42,91.81956974323387,114.32306269872278,0.41498959056210966,1441
pred_persist_1h,43,92.79305555555555,115.56531943258564,0.5194444444444445,1440
pred_persist_1h,44,93.68380820013898,116.71808423858415,0.6900625434329395,1439
pred_persist_1h,45,94.55702364394993,117.85240704800957,0.8671766342141863,1438
pred_persist_1h,46,95.26652748782185,118.83367908392275,1.1050800278357689,1437
pred_persist_1h,47,95.88718662952647,119.81206267365982,1.3676880222841226,1436
pred_persist_1h,48,96.54285714285714,120.64898549241279,1.5714285714285714,1435
pred_persist_1h,49,97.25941422594143,121.47061447655156,1.7935843793584378,1434
pred_persist_1h,50,97.78157711095604,122.12460032355078,2.0928122819260295,1433
pred_persist_1h,51,98.14664804469274,122.72418205201123,2.3547486033519553,1432
pred_persist_1h,52,98.48078266946192,123.18083381641196,2.659678546470999,1431
pred_persist_1h,53,98.83986013986014,123.6777648184568,2.9293706293706294,1430
pred_persist_1h,54,99.25822253324003,124.24569329481528,3.0888733379986,1429
pred_persist_1h,55,99.60364145658264,124.84268532209396,3.2478991596638656,1428
pred_persist_1h,56,99.93833216538192,125.50998698317106,3.439383321653819,1427
pred_persist_1h,57,100.30364656381487,126.11498515666534,3.679523141654979,1426
pred_persist_1h,58,100.8259649122807,126.73533411121265,3.9810526315789474,1425
pred_persist_1h,59,101.47893258426966,127.38268451640805,4.300561797752809,1424
pred_persist_1h,60,102.14757554462403,127.97681843843726,4.615600843288826,1423
pred_persist_1h,61,102.76090014064698,128.58061003539586,4.89732770745429,1422
pred_persist_1h,62,103.21534130893737,129.05523368975162,5.208304011259676,1421
pred_persist_1h,63,103.7281690140845,129.64999470405144,5.314084507042254,1420
pred_persist_1h,64,104.38477801268499,130.37328096280442,5.30937279774489,1419
pred_persist_1h,65,105.0768688293371,131.0474967459701,5.265867418899859,1418
pred_persist_1h,66,105.67254763585039,131.69656212005444,5.18560338743825,1417
pred_persist_1h,67,106.16242937853107,132.25146181627775,5.179378531073446,1416
pred_persist_1h,68,106.513074204947,132.7166007441202,5.236749116607774,1415
pred_persist_1h,69,106.90947666195191,133.25209807254632,5.272984441301273,1414
pred_persist_1h,70,107.38995046001415,133.89108924492774,5.286624203821656,1413
pred_persist_1h,71,107.97025495750708,134.6300407611693,5.267705382436261,1412
pred_persist_1h,72,108.68745570517363,135.35389737153514,5.2728561304039685,1411
pred_persist_1h,73,109.46879432624114,136.22439508253592,5.30709219858156,1410
pred_persist_1h,74,110.11994322214336,137.02231043050352,5.4158977998580555,1409
pred_persist_1h,75,110.80610795454545,137.7513585768675,5.600142045454546,1408
pred_persist_1h,76,111.3731343283582,138.44419308312064,5.8663823738450604,1407
pred_persist_1h,77,111.8620199146515,139.1034746920732,6.160739687055477,1406
pred_persist_1h,78,112.49964412811389,139.77905290097382,6.405693950177936,1405
pred_persist_1h,79,113.19301994301995,140.45634568340103,6.599002849002849,1404
pred_persist_1h,80,113.8952245188881,141.22043903768224,6.824661439771917,1403
pred_persist_1h,81,114.75035663338089,142.17268638247538,6.960057061340941,1402
pred_persist_1h,82,115.63311920057102,143.17936720074476,7.113490364025696,1401
pred_persist_1h,83,116.51928571428572,144.27318085592248,7.296428571428572,1400
pred_persist_1h,84,117.38098641887062,145.23374962460153,7.526804860614725,1399
pred_persist_1h,85,118.21959942775393,146.09904875042713,7.740343347639485,1398
pred_persist_1h,86,118.91052254831783,146.8039562641387,8.001431639226915,1397
pred_persist_1h,87,119.65902578796562,147.57249687462394,8.213467048710601,1396
pred_persist_1h,88,120.38351254480287,148.39753111202143,8.257347670250896,1395
pred_persist_1h,89,120.94978479196557,149.07193529913906,8.205164992826399,1394
pred_persist_1h,90,121.50538406317301,149.64759033200355,8.117013639626705,1393
pred_persist_1h,91,122.29166666666667,150.43311990123183,8.054597701149426,1392
pred_persist_1h,92,122.98993529834651,151.2754425725511,7.96764917325665,1391
pred_persist_1h,93,123.71294964028777,152.1610444668326,7.823741007194244,1390
pred_persist_1h,94,124.4442044636429,152.89804006313352,7.695464362850972,1389
pred_persist_1h,95,125.09942363112393,153.63866719558877,7.64985590778098,1388
pred_persist_1h,96,125.79812545061283,154.35159631434757,7.5645277577505405,1387
pred_persist_6h,1,29.065562913907286,42.217734260529845,0.4589403973509934,1510
pred_persist_6h,2,31.87358616101131,45.43552823010757,0.633399866932801,1503
pred_persist_6h,3,34.39185580774366,48.48158363684002,0.780373831775701,1498
pred_persist_6h,4,37.00735785953177,51.49454625797164,0.8107023411371237,1495
pred_persist_6h,5,39.611260053619304,54.642010667239475,0.8579088471849866,1492
pred_persist_6h,6,42.12836021505376,57.75959981654774,0.9428763440860215,1488
pred_persist_6h,7,44.575185434929196,60.69589140942874,1.021577882670263,1483
pred_persist_6h,8,46.928378378378376,63.42964819601532,1.1162162162162161,1480
pred_persist_6h,9,48.995263870094725,65.88989565267525,1.098105548037889,1478
pred_persist_6h,10,51.02506775067751,68.31402166140971,1.0602981029810299,1476
pred_persist_6h,11,53.12618724559023,70.68692800684421,1.0352781546811398,1474
